Name,Location,Start date,End date,Type,Format,Rounds,URL,Special,Continent,Category,Live games,Prize Fund,Description,Venue,Landing,Players
Icelandic Open 2025,Iceland,June 15,June 21,Open,Classical,,https://www.chessdom.com/icelandic-chess-open-live/,,Europe,,,,,,,"Ivan Sokolov, Gergana Peycheva"
Avionpro Mumbai International Grandmaster Chess Tournament,Maharashtra - India,June 16,June 24,Open,Classical,,https://aicf.in/wp-content/uploads/2025/03/Aurionpro_Mumbai_International_2025.pdf,,Asia,,,$47000,,,,"Diptayan Ghosh, Mauel Petrosyan, Levan Pantsulaia, Karen Grigoryan, Luka Paichadze, Mihail Nikitenko, Babu Lalit, Mamikon Gharibyan, Tomike Sanikidze, Chakkravarthy Deepan, Arsen Davtyan, Alexei Fedorov, Aleksej Aleksandrov, Duc Hoa Nguyen, Alexander Slizhevsky, Van Huy Nguyen, P. Karthikeyan, Mikulas Manik"
XXI CHESS FESTIVAL BALTIJA CUP 2025,Palanga - Lithuania,June 16,June 19,Open,Classical,,https://www.juodabalta.org/,,Europe,,,€1100,,,https://calendar.chessdom.com/xxi-chess-festival-baltija-cup-2025/,
Avionpro Mumbai Junior (U-13) International Chess Tournament,Maharashtra - India,June 16,June 24,Open,Classical,,https://aicf.in/wp-content/uploads/2025/03/Aurionpro_Mumbai_International_2025.pdf,,Asia,,,,,,,
Chess Festival Cesis Open 2025,Latvia,June 16,June 18,Open,Classical,,https://www.chessdom.com/chess-festival-cesis-open-2025/,,Europe,,,,,,,
Open Ciudad de Buenos Aires,Buenos Aires - Argentina,June 16,June 22,Open,Classical,,https://www.facebook.com/profile.php?id=100060886577793,,South America,,,,,,,
London GM & IM Norm,London - England,June 16,6/23/2025,RR,Classical,,https://ukchessacademy.com/ukca-gm-%26-im-norm,,Europe,,,,,,,
North Macedonia Youth Championships,Strumica - North Macedonia,June 16,June 22,Open,Classical,,https://chess-results.com/tnr1195060.aspx?lan=1&turdet=YES,,Europe,juniors,,,,,,
China vs Africa Chess Friendship Tournament,China,June 16,June 16,Open,Classical,,https://www.chessdom.com/china-vs-africa-chess-friendship-tournament/,,Asia,,,,,,,
Tigran Petrosyan 4th International Youth Chess Festival,Yerevan - Armenia,June 17,June 27,Open,Classical,,https://chesshouse.am/,,Europe,,,€8200,,,,
Muswell Hill FIDE Chess,London - England,June 17,June 17,Open,Rapid,,https://form.jotform.com/62384663046964,,Europe,,,,,,,
Zupanja Celebrates Chess GM 3 tournament,Zupanja - Croatia,June 17,June 23,RR,Classical,,http://www.biosamdobiven.com/,,Europe,,,,,,,
Zupanja Celebrates Chess IM 3 tournament,Zupanja - Croatia,June 17,June 23,RR,Classical,,http://www.biosamdobiven.com/,,Europe,,,,,,,
China Chess Rising Stars Tournament,China,June 17,June 22,Open,Classical,,https://www.chessdom.com/5th-china-chess-rising-stars-tournament/,,Asia,,,,,,,
17th IBCA Chess Olympiad ,Vrnjacka Banja - Serbia,June 17,June 5,Blind,Classical,,https://chess-results.com/tnr1170160.aspx?lan=1,,Europe,,,,,,,
UzChess Cup 2025,Tashkent - Uzbekistan,June 18,June 28,Open,Classical,9,https://www.chessdom.com/uzchess-cup-2025-participants-and-information/,yes,Asia,,,$121000,,,,"Erigaisi Arjun, Nodirbek Abdusattorov, Javokhir Sindarov, Nodirbek Yakubboev, Richard Rapport, Praggnanandhaa R., Ian Nepomniachtchi, Chithambaram VR. Aravindh, Pentala Harikrishna, Shamsiddin Vokhidov"
Sheki Open 2025,Sheki - Azerbaijan,June 18,June 25,Open,Classical,,https://www.chessdom.com/sheki-open-2025-live/,,Asia,,,€8000,,,,"Eltaj Safarli, Ahmad Ahmadzada, Vitaliy Bernadskiy, Khazar Babazada"
XXVII. Rhein-Main-Open 2025,Germany,June 18,June 22,,Classical,,https://www.rhein-main-open.de/,,Europe,,,€3700,,,,"Jonathan Carlstedt, Leonid Milov, Bennet Hagner, Jonah Krause, Jacek Dubiel"
Asian Chess Club Champions League,Russia,June 18,June 25,Continental,Classical,,https://www.chessdom.com/asian-chess-club-champions-league/,,Asia,,,,,,,"Daniil Dubov, Vladislav Artemiev, Vladimir Malakhov, Maxim Matlakov, Arseniy Nesterov, Savva Vetokhin, Aleksey Grebnev, Pavel Ponkratov, Sankalp Gupta, Rudik Makarian, Mahdi Gholami Orimi, Ilia Iljiushenok, Aleksei Pridorozhni"
Malaysia Chess Masters,Kuala Lumpur - Malaysia,June 18,June 22,Closed,Classical,,https://www.chessdom.com/malaysian-chess-masters/,,Asia,,,,,,,
Schnellschachstaatsmeisterschaft 2025,Austria,June 19,June 20,,,,https://chess-results.com/tnr1111423.aspx?lan=0,,Europe,,,,,,,
1. Almtaler Schachopen,Austria,June 19,June 22,,Classical,,,,Europe,,,,,,,
4. KJSV Amateur-Schachopen Neubau,Austria,June 19,June 22,,Classical,,https://www.kjsv.at/,,Europe,,,,,,,
Österreichische Meisterschaften B U12/14 und M U12/14,Austria,June 19,June 22,,Classical,,,,Europe,,,,,,,
15. Rheinland-Pfalz-Open Neuwied-Heimbach-Weis 2025,Germany,June 19,June 22,,Classical,,https://rlp-open.de/sample-page/,,Europe,,,,,,,
33. SW-Open 2025,Germany,June 19,June 22,,Classical,,https://www.schachklub-schweinfurt-2000.de/turniere/schweinfurt-open/,,Europe,,,,,,,
41. Turm-Open Lippstadt,Germany,June 19,June 22,,Classical,,https://lsv-turm-lippstadt.de/category/turmopen/news/,,Europe,,,,,,,
June Blitz 2025,Adelaide - Australia,June 19,June 19,Open,Blitz,,https://sachess.org.au/event/june-blitz-2025/,,Oceania,,,,,,,
Maraba Chess Open,Maraba - Brazil,June 19,June 22,Open,Classical,,https://www.chessdom.com/maraba-chess-open-2025/,,South America,,,,,,,
Maraba Blitz,Maraba - Brazil,June 19,June 19,Open,Classical,,https://www.chessdom.com/maraba-chess-open-2025/,,South America,,,,,,,
US Cadet Championship,USA,June 19,June 22,RR,Classical,,https://www.chessdom.com/tani-adewumi-is-us-chess-cadet-champion-2025/,,North America,,,,,,,
Bezirksmeisterschaft Leibnitz Blitzschach,Austria,June 20,June 20,,,,https://www.schachverein-tillmitsch.at/,,Europe,,,,,,,
Marshall Monthly U2400,New York - USA,June 20,June 22,Open,Classical,,https://www.marshallchessclub.org/tournaments/upcoming,,North America,,,,,,,
Earlsfield FIDE Congress,London - England,June 20,June 21,Open,Classical,,https://form.jotform.com/231302020380334,,Europe,,,,,,,
Peter Stuart Memorial 2025,Takapuna - New Zealand,June 20,June 22,Open,Classical,,https://www.chessdom.com/peter-stuart-memorial-open-2025/,,Oceania,,,,,,,
National Cadets Chess Championship,Zambia,June 20,June 22,Junior,Classical,,https://chess-results.com/tnr1200605.aspx?lan=1&turdet=YES,,Africa,,,,,,,
Aktobe Open 2025,Aktobe - Kazakhstan,June 21,July 1,Open,Classical,,https://kazchess.kz/,,Asia,,,,,,,"Hao Wang, Alexey Sarana, Shant Sargsyan, Ivan Cheparinov, Bardiya Daneshvar, Sanan Sjugirov, Arkadij Naiditsch, Chopra Aryan, Andrew Hong, Mustafa Yilmaz, Ivan Zemlyanskii, Mittal Aditya, Rithvik Raja, Kazybek Nogerbek, Dmitry Bocharov, Haowen Xue, Alisher Suleymenov, Zhamsaran Tsydypov, Nikita Afanasiev, Mahdi Gholami Orimi, Edgar Mamedov, Olga Badelka, Zarina Nurgaliyeva"
Blitzschachstaatsmeisterschaft 2025,Austria,June 21,June 21,,Blitz,,https://chess-results.com/tnr1111420.aspx?lan=0,,Europe,,,,,,,
Bezirksmeisterschaft Leibnitz Rapidschach,Austria,June 21,June 21,,,,https://www.schachverein-tillmitsch.at/,,Europe,,,,,,,
"TRENČÍN - Memoriál F. Julényiho, medzinárodný rapid turnaj so zápočtom na rapid fide elo",Trenčín,June 21,June 21,,,,,,Europe,,,,,,,
Castlehill 50th Anniversary Allegro,Dundee - Scotland,June 21,June 21,Open,Rapid,,https://form.jotform.com/250363903010342,,Europe,,,,,,,
4th Rigo Janos Memorial IM,Balatonlelle - Hungary,June 21,June 27,Open,Classical,,https://calendar.fide.com/calendar.php?id=2728,,Europe,,,,,,,
4th Ilkley Chess Festival,Ilkley - England,June 21,June 22,Open,Classical,,https://ilkleychesscentre.com/events,,Europe,,,,,,,
Upper Hutt Rapid 2025,Trentham - New Zealand,June 21,June 21,Open,Rapid,,https://newzealandchess.co.nz/event/upper-hutt-rapid-2025/,,Oceania,,,,,,,
2nd Udaipur: International Open Fide Rapid Rating Chess Tournament 2025,Udaipur - India,June 21,June 22,Open,Rapid,,https://aicf.in/wp-content/uploads/2025/04/UDAIPUR-INTERNATIONAL-RAPID-AND-BLITZ-FIDE-RATING-CHESS-TOURNAMENT-2025.pdf,,Asia,,,,,,,
Lebanese Individual Chess Championship,Keshmat - Lebanon,June 21,July 1,National,Classical,,https://www.chessdom.com/lebanese-individual-chess-championship/,,Asia,,,,,,,
11th Osaka Wine Cup,Hong Kong,June 21,June 21,Open,Rapid,,https://www.caissahk.org/,,Asia,,,,,,,
Ciudad de Alcala de Guadaira 2025,Alcala de Guadaira - Spain,June 21,June 21,Open,Rapid,,https://chess-results.com/tnr1167635.aspx?lan=1,,Europe,,,,,,,Jose Eduardo Martinez Alcantara
3rd Far West Thessaloniki Chess Festival 2025,Thessaloniki - Greece,June 21,June 21,Open,Rapid,,https://chess-results.com/tnr1186629.aspx?lan=1,,Europe,,,,,,,
International Chess Open Isola del Sole,Grado - Italy,June 22,June 28,Open,Classical,,https://www.scacchigrado.com/,,Europe,,,€4500,,,,"N R Visakh, Milan Drasko"
17. Schach im Schloss 2025,Germany,June 22,June 22,,,,https://schach-im-schloss.de/,,Europe,,,,,,,
FIDE World Cup U8 U10 U12,Batumi - Georgia,June 22,July 3,FIDE Juniors,Classical,KO,https://www.chessdom.com/fide-world-cup-2025-u8-u10-u12-batumi-georgia/,,Asia,juniors,,,,,,Faustino Oro
Ringwood Rapidplay 2025,Ringwood - England,June 22,June 22,Open,Rapid,,https://www.ringwoodchessclub.org.uk/rapidplay/,,Europe,,,,,,,
Frodsham Rapidplay 2025,Frodsham - England,June 22,June 22,Open,Rapid,,https://congress.org.uk/congress/581/enter,,Europe,,,,,,,
Uxbridge FIDE Rapid Tournament,Uxbridge - England,June 22,June 22,Open,Rapid,,https://www.englishchess.org.uk/event/uxbridge-fide-rapid-tournament-4/,,Europe,,,,,,,
Berkshire Open Event - Chess Tournament,Finchampstead - England,June 22,June 22,Open,Rapid,,https://www.eventbrite.com/e/berkshire-open-event-chess-tournament-tickets-1334963424539,,Europe,,,,,,,
3rd Udaipur: International Open Fide Blitz Rating Chess Tournament 2025,Udaipur - India,June 22,June 22,Open,Blitz,,https://aicf.in/wp-content/uploads/2025/04/UDAIPUR-INTERNATIONAL-RAPID-AND-BLITZ-FIDE-RATING-CHESS-TOURNAMENT-2025.pdf,,Asia,,,,,,,
Great Minds All India Open FIDE Rapid Chess Tournament 2025,Karnataka - India,June 22,June 22,Open,Rapid,,https://aicf.in/wp-content/uploads/2025/05/GreatMinds-Chess-Tournament.pdf,,Asia,,,,,,,
Trofeul Litoralului 2025,Mamaia - Romania,June 22,June 30,Open,Classical,,https://chess-results.com/tnr1196488.aspx?lan=1&turdet=YES,,Europe,,,,,,,
11th Cesme International Open Chess Tournament,Cesme - Turkey,June 23,June 29,Open,Classical,,https://www.chessdom.com/cesme-open-2025-a-massive-chess-tournament-in-turkiye/,,Europe,,,,,,,"Evgeny Romanov, Gergely Kantor, Vahap Sanal, Lorenzo Lodici, Rithvik Raja, Misratdin Iskandarov, Giga Quparadze, Barthlomiej, Dmitris Alexakis, Mert Yilmazyerli"
Panamerican Amateur Championship 2025,Honduras,June 23,June 28,,Classical,,https://fideamerica.net/,,South America,,,,,,,
XXXV. Rakosmenti Open for players above 1650,Budapest - Hungary,June 23,June 25,Open,Classical,,https://calendar.fide.com/event_files/3523/RMO_35.pdf,,Europe,,,,,,,
Chess.com Bullet Chess Championship,Online,June 23,June 28,KO,Bullet,,https://www.chess.com/news/view/announcing-bullet-chess-championship-2025,,Online,,,,,,,"Alireza Firouzja, Arjun Erigaisi, Jan-Krzysztof Duda, Nihal Sarin, Sam Sevian, Yagiz Kaan Erdogmus, Daniel Naroditsky"
Yagiz Kaan Erdogmus simul,Cesme - Turkey,June 23,June 29,Simul,Classical,,https://www.chessdom.com/cesme-open-2025-a-massive-chess-tournament-in-turkiye/,,Europe,,,,,,,Yagiz Kaan Erdogmus
DAV Go Checkmate International Chess Prix 2025,Singapore,6/23/2025,6/28/2025,Open,Classical,,www.gocheckmate.sg,,Asia,,,,,,,
3rd UIN Sports International Open FIDE Rating Chess Tournament,Maharashtra - India,June 24,June 29,Open,Classical,,https://aicf.in/wp-content/uploads/2025/04/3rd-UinSports-Pune-24th-to-29th-Jun-2025.pdf,,Asia,,,,,,,
V Llinars International Chess Open 2025,Llinars - Spain,June 25,July 3,Open,Classical,,https://www.llinarsopen.cat/,,Europe,,,,,,,
PSBA Trophy 1st International FIDE Rated Open Chess Tournament 2025,Tamil Nadu - India,June 25,June 29,Open,Classical,,https://aicf.in/wp-content/uploads/2025/04/25th-June-FIDE-RATING-PSNA-DINDIGUL.pdf,,Asia,,,,,,,
Vojvodina Open,Novi Sad - Serbia,June 25,July 2,Open,Classical,,https://vojvodinachess.net,,Europe,,,,,,,
Shamakhi Open 2025,Shamakhi - Azerbaijan,June 26,July 3,Open,Classical,,https://shamakhiopen2025.chess.az/,,Asia,,,,,,,
June Allegro #2 2025,Adelaide - Australia,June 26,June 26,Open,Rapid,,https://sachess.org.au/event/june-allegro-2-2025/,,Oceania,,,,,,,
Philadelphia International 2025,Philadelphia - USA,June 26,June 30,Open,Classical,,https://www.chesstour.com/pi25.htm,,North America,,,,,,,"Awonder Liang, Jianchao Zhou, Bharath Subramaniyam H, Robby Kevlishvili, Rose Atwell"
Spanish Youth Chess Championships 2025 U8,Almeria - Spain,June 26,July 1,Open,Classical,,https://feda.org/feda2k16/c11-2025-convocatoria-de-los-campeonatos-de-espana-individuales-sub-8-a-sub-16/,,Europe,juniors,,,,,,
David Navara vs Ediz Gurel,Prague - Czech Republic,June 26,June 27,Match,Rapid ,,https://www.chess.cz/cez-chess-trophy-2025-svetova-jednicka-prijede-do-prahy/,,Europe,,,,,,,"David Navara, Ediz Gurel"
Asian Junior Rapid Chess Championship,Sri Lanka,June 26,June 26,Junior,Rapid,,https://www.chessdom.com/alekhine-is-asian-junior-rapid-chess-champion/,,Asia,,,,,,,
"Lince Andújar Chess Open
",Andújar - Spain,June 27,July 3,Open,Classical,,https://www.facebook.com/linceandujarchessopen2025,,Europe,,,,,,,
Lince Andújar Chess Open 2025,Spain,June 27,July 3,,Classical,,https://ajedrezdiagonal.es/events/lince-andujar-chess-open/,,Europe,,,,,,,
Swedish Chess Championship,Uppsala - Sweden,June 27,July 6,Open,Classical,,https://schack.se/wp-content/uploads/2025/04/SM-2025_Inbjudan-officiell.pdf,,Europe,,,,,,,
42. Seniors Oberfranken,Bischofsgruen - Germany,June 27,July 5,Senior,Classical,,https://www.chessorg.de/,,Europe,seniors,,,,,,
12th Summer Solstice Open,Florida - USA,June 27,June 29,Open,Classical,,https://www.bocachess.com/other-upcoming-tournaments/12th-summer-solstice-open,,North America,,,,,,,
XXXVI. Rakosmenti Open for players under 1800,Budapest - Hungary,June 27,June 29,Open,Classical,,https://chess.hu/xxxvi-rakosmenti-open-1800-elo-alattiak-reszere-2025-junius-27-29/,,Europe,,,,,,,
8th Crewe Chess Congress,Crewe - England,June 27,June 29,Open,Classical,,https://crewechessclub.co.uk/congress-entry-2/,,Europe,,,,,,,
Sesc Caioba Classical,Parana - Brazil,June 27,July 6,Open,Classical,,https://www.chessdom.com/ix-torneio-internacional-de-xadrez-sesc-caioba-2025/,,South America,,,,,,,
Asian Junior Chess Championship ,Sri Lanka,June 27,July 3,Junior,Classical,,https://www.chessdom.com/asian-junior-chess-championships-2025/,,Asia,,,,,,,Aswath S
The Carlow Rapid 2025,Carlow - Ireland,June 28,June 28,Open,Rapid,,https://www.chessdom.com/wim-trisha-kanyamarala-wins-carlow-rapid-chess-2025/,,Europe,,,,,,,
PLACEHOLDER Churchtown Team Event,Dublin - Ireland,June 28,June 29,,,,,,Europe,,,,,,,
"10e Open international Marina Viva
",Porticcio - France,June 28,July 4,Open,Classical,,https://corsicancircuit.com/,,Europe,,,,,,,
Open Bohumin 2025,Bohumin - Czech Republic,June 28,July 5,Open,Classical,,https://www.openbohumin.com/,,Europe,,,,,,,
Šachový festival České Budějovice ‍,České Budějovice - Czech Republic,June 28,July 6,Open,Classical,,https://www.qcc.cz/index.php/sachovy-festival-ceske-budejovice,,Europe,,,,,,,
31.FIDE Open Klatovy,Czech Republic,June 28,July 6,,Classical,,https://www.openklatovy.cz/openklatovy/propozice.asp,,Europe,,,,,,,
Šachový festival České Budějovice 2025,České Budějovice,June 28,July 6,Open,Classical,,http://qcc.cz/,,Europe,,,,,,,
10e Open International Marina Viva - Tournoi -2000 Elo,Porticcio - France,June 28,July 4,Open,Classical,,https://corsicancircuit.com/,,Europe,,,,,,,
“Stepan Avagyan Memorial” International Youth Tournament,Jermuk - Armenia,June 28,July 4,Open,Classical,,http://jermuk-swiss.chessacademy.am/?lang=en,,Europe,juniors,,,,,,
1st Eastleigh FIDE Congress,Eastleigh - England,June 28,June 29,Open,Classical,,https://congress.org.uk/congress/542/home,,Europe,,,,,,,
The Mad Hatter's Chess Party!,Turnham Green - London,June 28,June 28,Junior,Rapid,,https://www.chessmanager.com/en-gb/tournaments/5959052336300032,,Europe,,,,,,,
AlphaChess FIDE Weekender - North London Gateway,Potters Bar - England,June 28,June 29,Open,Classical,,https://congress.org.uk/congress/588/home,,Europe,,,,,,,
Poplar Rapid Tournaments - 15th Series,London - England,June 28,June 28,Open,Rapid,,https://britchess.wufoo.com/cabinet/055cfa0a-d78c-472a-be3c-79e39213f99e,,Europe,,,,,,,
Stroud Open Rapidplay,Stroud - England,June 28,June 28,Open,Rapid,,https://www.stroudchess.club/,,Europe,,,,,,,
Chessroad Junior Chess Tournament #5 2025,Auckland - New Zealand,June 28,June 28,Junior,Rapid,,https://newzealandchess.co.nz/event/5749-2/,,Oceania,,,,,,,
60th Peninsula Open,Rothwell - Australia,June 28,June 29,Open,Classical,,https://caq.org.au/event/60th-peninsula-open/,,Oceania,,,,,,,
Italian Youth Championship 2025,Sicilia - Italy,June 28,July 5,Open,Classical,,http://www.scacchinazionali.it/,,Europe,juniors,,,,,,
Sesc Caioba Rapid,Parana - Brazil,June 28,June 28,Open,Rapid,,https://www.chessdom.com/ix-torneio-internacional-de-xadrez-sesc-caioba-2025/,,South America,,,,,,,
Assam University Open,Assam - India,June 28,July 3,Open,Classical,,https://chess-results.com/tnr1188969.aspx?lan=1&art=0&flag=30&zeilen=99999,,Asia,,,,,,,
South African Open,South Africa,June 28,July 5,Open,Classical,,https://www.chessdom.com/south-african-chess-open/,,Africa,,,,,,,
Schachimedes-Jugend-Feriencamp in Mönichkirchen am Wechsel,Austria,June 29,July 5,,Classical,,http://www.schachimedes.at/,,Europe,,,,,,,
Sudamerican School Championship 2025,Santiago - Chile ,June 29,July 6,,Classical,,https://fideamerica.net/,,South America,,,,,,,
8th Solta Open,Solta Island - Croatia,June 29,July 6,Open,Classical,,https://www.skbrdasplit.hr/en/solta-open/,,Europe,,,,,,,
2025 Solihull Junior Open,Shirley South - England,June 29,June 29,Junior,Rapid,,https://warwickshirechess.org/2025-solihull-junior-open/,,Europe,juniors,,,,,,
13th Martlesham Heath Chess Tournament,Martlesham Heath - England,June 29,June 29,Open,Rapid,,https://britchess.wufoo.com/cabinet/986eae93-af78-4545-9f8b-44dc872b5e0f,,Europe,,,,,,,
Thamesmead London Blitz OPEN 2024,London - England,June 29,June 29,Open,Blitz,,http://tmchess.co.uk/,,Europe,,,,,,,
SuperUnited Rapid Croatia,Zagreb - Croatia,June 30,July 7,RR,Rapid,9,https://calendar.chessdom.com/grand-chess-tour-croatia-2025/,yes,Europe,,,,,,,"Carlsen, Gukesh D, Caruana, Firouzja, Abdusattorov, Praggnanandhaa, Duda, So, Giri, Saric"
SuperUnited Blitz Croatia,Zagreb - Croatia,June 30,July 7,RR,Blitz,18,https://calendar.chessdom.com/grand-chess-tour-croatia-2025/,yes,Europe,,,,,,,"Carlsen, Gukesh, Caruana, Firouzja, Abdusattorov, Praggnanandhaa, Duda, So, Giri, Saric"
Inklusionsturnier,Austria,June 30,July 6,,Classical,,,,Europe,,,,,,,
Kielce Chess Open 2025,Kielce - Poland,June 30,July 6,Open,Classical,,https://www.chessdom.com/kielce-chess-open-live/,,Europe,,,,,,,
I Open Internacional Ciudad de Vitoria-Gasteiz,Vitoria - Spain,June 30,July 6,Open,Classical,,https://www.openciudadvitoriagasteiz.es/,,Europe,,,,,,,
23rd ASEAN+ AGE-GROUP Chess Championships 2025,Penang - Malaysia,July 1,July 11,Junior,Classical,,https://www.chessdom.com/asean-age-group-chess-championships-2025/,,Asia,,,,,,,
Queensland Junior Chess Championships 2025,East Brisbane - Australia,July 1,July 4,Junior,Classical,,https://caq.org.au/event/queensland-junior-championships/,,Oceania,,,,,,,
Spanish Youth Chess Championships 2025 U10,Almeria - Spain,July 1,July 7,Open,Classical,,https://feda.org/feda2k16/c11-2025-convocatoria-de-los-campeonatos-de-espana-individuales-sub-8-a-sub-16/,,Europe,juniors,,,,,,
Wei Yi vs Levon Aronian match,China,July 1,July 7,Closed,Classical,,https://www.chessdom.com/wei-yi-vs-levon-aronian-2025-yallow-dance-cup/,,Asia,,,,,,,"Levon Aronian, Yi Wei"
Kiryat Open,Israel,July 1,July 7,Open,Classical,,https://ratings.fide.com/tournament_information.phtml?event=406842,,Israel,,,,,,,
Baskent University International Open Chess Tournament,Ankara - Turkey,July 1,July 6,Open,Classical,,https://calendar.fide.com/calendar.php?id=4792,,Europe,,,,,,,
Baskent University Chess Championship 2025,Turkey,July 1,July 6,Open,Classical,,https://chess-results.com/tnr1209694.aspx?lan=1&art=0&turdet=YES&flag=30,,Europe,,,,,,,
15ème Festival d'Eté de Strasbourg (France),Strasbourg - France,July 2,July 6,Open,Classical,,https://opensechecsstrasbourg.blogspot.com/,,Europe,,,,,,,
Maharashtra Chess League,Maharashtra - India,July 2,July 6,,,,,,Asia,,,,,,,
World Open 2025,Philadelphia - USA,July 3,July 7,Open,Classical,,https://www.chessdom.com/annual-world-open-2025-live/,,North America,,,,,,,"Jeffery Xiong, Semen Khanin, Jianchao Zhou, Andy Austin Woodward, Bharath Subramaniyam H, Robby Kevlishvili, Viktor Matviishen, Jose Gabriel Cardoso Cardoso, Bharathakoti Harsha, Haowen Xue, Emilio Cordova Daza, Luka Budisavljevic, Arman Mikaelyan, Brewington Hardaway, Rose Atwell"
XXXVIII TORNEO MAGISTRAL DE AJEDREZ CIUDAD DE LEON,Leon - Spain,July 3,July 7,KO,Rapid,,https://www.chessdom.com/anand-faustino-oro-le-quang-liem-and-santos-in-leon-2025/,,Europe,,,,,,,"Viswanathan Anand, Faustino Oro"
Winter Rapid 2025,Adelaide - Australia,July 3,July 3,Open,Rapid,,https://sachess.org.au/event/winter-rapid-2025/,,Oceania,,,,,,,
Royal Rapid Juli 2025,Austria,July 4,July 4,,,,https://chess-results.com/tnr1111929.aspx?lan=0,,Europe,,,,,,,
Marshall Premier (2000+),New York - USA,July 4,July 6,Open,Classical,,https://www.marshallchessclub.org/tournaments/upcoming,,North America,,,,,,,
Marshall Premier (u2000),New York - USA,July 4,July 6,Open,Classical,,https://www.marshallchessclub.org/tournaments/upcoming,,North America,,,,,,,
European Youth Team Chess Championship 2025,Terme Catez - Slovenia,July 4,July 12,Continental Juniors,Classical,9,https://www.chessdom.com/european-youth-team-chess-championship-2025/,,Europe,juniors,,,,,,
AUSC REGION 5 Youth Games,Namibia,July 4,July 13,Continental Juniors,Classical,9,,,Africa,juniors,,,,,,
44th Benasque Open ‍,Benasque - Spain,July 4,July 13,Open,Classical,,https://www.chessdom.com/benasque-chess-open-2025/,,Europe,,,,,,,
44 Open Internacional Villa de Benasque,Spain,July 4,July 13,,Classical,,https://openajedrezbenasque.com/,,Europe,,,,,,,
20th South Wales International Open,Bridgend - Wales,July 4,July 9,Open,Classical,,https://www.welshchessunion.uk/SWI/2025/,,Europe,,,,,,,
International Chess Festival Paracin Open,Paracin - Serbia,July 4,July 12,Open,Classical,,https://www.chessdom.com/paracin-chess-festival-2025/,,Europe,,,,,,,
Norwegian National Championship - Landsturneringen 2025,Bergen - Norway,July 4,July 12,Open,Classical,,https://www.chessdom.com/norwegian-chess-championship-2025-live/,,Europe,,,,,,,
Pacific Southwest Open,California - USA,July 4,July 6,Open,Classical,,https://www.scchess.com/,,North America,,,,,,,
Open Internacional Escacs Barbera del Valles,Spain,July 4,July 12,Open,Classical,,https://www.chessdom.com/open-internacional-escacs-barbera-del-valles-2025/,,Europe,,,,,,,
North Island Chess Championships 2025,New Plymouth - New Zeland,July 4,July 7,Open,Classical,,https://www.chessdom.com/north-island-chess-championships-2025/,,Oceania,,,,,,,
Women's World Cup 2025,Batumi - Georgia,July 5,July 29,World Championship cycle,Classical,KO,https://www.chessdom.com/fide-women-world-chess-cup-2025-participants-and-information/,yes,Asia,Women,,,,,,"Mariya Muzychuk, Aleksandra Goryachkina, Nurgyul Salimova, Anna Muzychuk, Zhongyi Tan, Deshmukh Divya, Tingjie Lei, Jiner Zhu, Humpy Koneru, Bibisara Assaubayeva, Nana Dzagnidze, Jesse Nikki February, Shrook Wafa, Lina Nassr, Atousa Pourkashiyan, Candela Be Francisco Guecamburu, Carissa Yip, Alice Lee, Maili-Jade Ouellet, Tania Miranda, Yerisbel Miranda, Hannah Wilson, Deisy Cori, Ana Paola Borda, Yuxin Song, Bat-Erdene Mungunzul, Anahita Zahedifar, Wadifa Ahmed, Shafira Devi Herfesa, Afruza Khamdamova, Elnaz Kaliakhmet, Meruert Kamalidenova, Muziyan Gao, Lanlin Zhang, Mo Zhai, Chiqiao Wang, Julia Ryjanova, P V Nandhidhaa, K Priyanka, Rout Padmini, Mohanty Kiran Manisha, Kateryna Lagno, Daria Charochkina, Polina Shuvalova, Ulviyya Fataliyeva, Nataliya Buksa, Lela Javakhishvili, Nino Batsiashvili, Irina Bulmaga, Govhar Beydullayeva, Nadya Toncheva, Stavroula Tsolakidou, Lilit Mkrtchian, Alicja Sliwicka, Teodora Injac, Mai Narva, Aleksandra Maltsevskaya, Anna Ushenina, Deimante Daulyte-Cornette, Gulnar Mammadova, Sophie Milliet, Oliwia Kiolbasa, Klaudia Kulon, Zala Urh, Bella Khotenashvili, Xanim Baladjayeva, Yunshan Li, Alina Kashlinskaya, Alexandra Kosteniuk, Alserkal Rouda Essa, Umida Omonova"
5th La Plagne International Chess Festival,La Plagne - France,July 5,July 11,Open,Classical,,https://www.chessdom.com/slovakia-women-championship-live/,,Europe,,,,,,,
44. Internationales St. Veit Open,Austria,July 5,July 12,,Classical,,https://www.stveitopen.at/,,Europe,,,,,,,
5th International Chess Festival,La Plagne - France,July 5,July 11,Open,Classical,,https://www.echecs-laplagnesoleil.com/,,Europe,,,,,,,
X OPEN INTERNACIONAL DE AJEDREZ MAGISTRAL DE LEON,Leon - Spain,July 5,July 6,Open,Rapid,,https://www.advancedchessleon.com/,,Europe,,,,,,,
First Saturday Budapest,Budapest - Hungary,July 5,July 12,Open,Classical,,https://firstsaturday.hu/,,Europe,,,,,,,
VI Open International Valencia Cuna del Ajedrez,Valencia - Spain,July 5,July 13,Open,Classical,,https://www.facv.org/,,Europe,,,,,,,
Earlsfield FIDE Rapidplay,London - England,July 5,July 5,Open,Rapid,,https://britchess.wufoo.com/cabinet/63273d76-693a-4f40-979d-82fbbc3c8e61,,Europe,,,,,,,
